photo,age,pred,error
../dataset/morph/Album2/019066_0M67.JPG,"tensor(67, device='cuda:0')","tensor(55.0057, device='cuda:0')","tensor(11.9943, device='cuda:0')"
../dataset/morph/Album2/019066_1M68.JPG,"tensor(68, device='cuda:0')","tensor(50.9233, device='cuda:0')","tensor(17.0767, device='cuda:0')"
../dataset/morph/Album2/019066_5M69.JPG,"tensor(69, device='cuda:0')","tensor(60.7036, device='cuda:0')","tensor(8.2964, device='cuda:0')"
../dataset/morph/Album2/019066_08M70.JPG,"tensor(70, device='cuda:0')","tensor(50.7383, device='cuda:0')","tensor(19.2617, device='cuda:0')"
../dataset/morph/Album2/020490_1M67.JPG,"tensor(67, device='cuda:0')","tensor(54.9493, device='cuda:0')","tensor(12.0507, device='cuda:0')"
../dataset/morph/Album2/021896_0F63.JPG,"tensor(63, device='cuda:0')","tensor(58.3381, device='cuda:0')","tensor(4.6619, device='cuda:0')"
../dataset/morph/Album2/025561_1M60.JPG,"tensor(60, device='cuda:0')","tensor(52.0208, device='cuda:0')","tensor(7.9792, device='cuda:0')"
../dataset/morph/Album2/027017_2M61.JPG,"tensor(61, device='cuda:0')","tensor(53.4414, device='cuda:0')","tensor(7.5586, device='cuda:0')"
../dataset/morph/Album2/027288_3M60.JPG,"tensor(60, device='cuda:0')","tensor(55.4669, device='cuda:0')","tensor(4.5331, device='cuda:0')"
../dataset/morph/Album2/027324_1M64.JPG,"tensor(64, device='cuda:0')","tensor(59.5332, device='cuda:0')","tensor(4.4668, device='cuda:0')"
../dataset/morph/Album2/028189_0M63.JPG,"tensor(63, device='cuda:0')","tensor(54.7160, device='cuda:0')","tensor(8.2840, device='cuda:0')"
../dataset/morph/Album2/029485_0M56.JPG,"tensor(56, device='cuda:0')","tensor(51.2731, device='cuda:0')","tensor(4.7269, device='cuda:0')"
../dataset/morph/Album2/029908_1M58.JPG,"tensor(58, device='cuda:0')","tensor(53.7638, device='cuda:0')","tensor(4.2362, device='cuda:0')"
../dataset/morph/Album2/030101_2M58.JPG,"tensor(58, device='cuda:0')","tensor(51.0643, device='cuda:0')","tensor(6.9357, device='cuda:0')"
../dataset/morph/Album2/030104_1M65.JPG,"tensor(65, device='cuda:0')","tensor(57.5356, device='cuda:0')","tensor(7.4644, device='cuda:0')"
../dataset/morph/Album2/030583_0M59.JPG,"tensor(59, device='cuda:0')","tensor(52.4136, device='cuda:0')","tensor(6.5864, device='cuda:0')"
../dataset/morph/Album2/030583_03M62.JPG,"tensor(62, device='cuda:0')","tensor(50.8745, device='cuda:0')","tensor(11.1255, device='cuda:0')"
../dataset/morph/Album2/031153_0M54.JPG,"tensor(54, device='cuda:0')","tensor(45.7616, device='cuda:0')","tensor(8.2384, device='cuda:0')"
../dataset/morph/Album2/031293_5M59.JPG,"tensor(59, device='cuda:0')","tensor(55.2220, device='cuda:0')","tensor(3.7780, device='cuda:0')"
../dataset/morph/Album2/031594_0M55.JPG,"tensor(55, device='cuda:0')","tensor(49.6318, device='cuda:0')","tensor(5.3682, device='cuda:0')"
../dataset/morph/Album2/031686_1M57.JPG,"tensor(57, device='cuda:0')","tensor(45.6684, device='cuda:0')","tensor(11.3316, device='cuda:0')"
../dataset/morph/Album2/032259_04M59.JPG,"tensor(59, device='cuda:0')","tensor(52.9619, device='cuda:0')","tensor(6.0381, device='cuda:0')"
../dataset/morph/Album2/032369_2M58.JPG,"tensor(58, device='cuda:0')","tensor(54.3679, device='cuda:0')","tensor(3.6321, device='cuda:0')"
../dataset/morph/Album2/032662_1M55.JPG,"tensor(55, device='cuda:0')","tensor(47.4811, device='cuda:0')","tensor(7.5189, device='cuda:0')"
../dataset/morph/Album2/032662_3M56.JPG,"tensor(56, device='cuda:0')","tensor(51.7036, device='cuda:0')","tensor(4.2964, device='cuda:0')"
../dataset/morph/Album2/033350_1M61.JPG,"tensor(61, device='cuda:0')","tensor(52.2308, device='cuda:0')","tensor(8.7692, device='cuda:0')"
../dataset/morph/Album2/033600_2F54.JPG,"tensor(54, device='cuda:0')","tensor(47.6114, device='cuda:0')","tensor(6.3886, device='cuda:0')"
../dataset/morph/Album2/033822_4M61.JPG,"tensor(61, device='cuda:0')","tensor(57.6906, device='cuda:0')","tensor(3.3094, device='cuda:0')"
../dataset/morph/Album2/033825_0M59.JPG,"tensor(59, device='cuda:0')","tensor(49.4907, device='cuda:0')","tensor(9.5093, device='cuda:0')"
../dataset/morph/Album2/034347_2M58.JPG,"tensor(58, device='cuda:0')","tensor(50.0927, device='cuda:0')","tensor(7.9073, device='cuda:0')"
../dataset/morph/Album2/034913_2M54.JPG,"tensor(54, device='cuda:0')","tensor(49.5345, device='cuda:0')","tensor(4.4655, device='cuda:0')"
../dataset/morph/Album2/034913_4M56.JPG,"tensor(56, device='cuda:0')","tensor(52.4540, device='cuda:0')","tensor(3.5460, device='cuda:0')"
../dataset/morph/Album2/035400_1M53.JPG,"tensor(53, device='cuda:0')","tensor(48.9848, device='cuda:0')","tensor(4.0152, device='cuda:0')"
../dataset/morph/Album2/035620_2M55.JPG,"tensor(55, device='cuda:0')","tensor(59.0939, device='cuda:0')","tensor(4.0939, device='cuda:0')"
